identifier,file,character,source,translation
GLRA041RA,GLOBAL_StringTable.csv,Raz,Ow!,
GLRA042RA,GLOBAL_StringTable.csv,Raz,Hey!,
GLRA043RA,GLOBAL_StringTable.csv,Raz,Watch it!,
GLRA045RA,GLOBAL_StringTable.csv,Raz,Ah!,
GLRA046RA,GLOBAL_StringTable.csv,Raz,Man!,
GLRA048RA,GLOBAL_StringTable.csv,Raz,Ooh ooh ohhhhh...,
GLRA049RA,GLOBAL_StringTable.csv,Raz,Hrrr!,
GLRA052RA,GLOBAL_StringTable.csv,Raz,HRRRRRR!,
GLRA053RA,GLOBAL_StringTable.csv,Raz,Hmmmpf!,
GLRA054RA,GLOBAL_StringTable.csv,Raz,Hp.,
GLRA055RA,GLOBAL_StringTable.csv,Raz,Hup.,
GLRA056RA,GLOBAL_StringTable.csv,Raz,Hayup.,
GLRA057RA,GLOBAL_StringTable.csv,Raz,Ho.,
GLRA058RA,GLOBAL_StringTable.csv,Raz,Ha!,
GLRA059RA,GLOBAL_StringTable.csv,Raz,Hmmmm.,
GLRA060RA,GLOBAL_StringTable.csv,Raz,Hm-mmm.,
GLRA061RA,GLOBAL_StringTable.csv,Raz,Hmm?,
GLRA062RA,GLOBAL_StringTable.csv,Raz,Ah-ha!,
GLRA063RA,GLOBAL_StringTable.csv,Raz,Heh heh heh!,
GLRA064RA,GLOBAL_StringTable.csv,Raz,Ha ha ha!,
GLRA065RA,GLOBAL_StringTable.csv,Raz,Huh?,
GLRA066RA,GLOBAL_StringTable.csv,Raz,What the--,
GLRA067RA,GLOBAL_StringTable.csv,Raz,Wooooo-hooooo!,
GLRA068RA,GLOBAL_StringTable.csv,Raz,That's strange.,
GLRA069RA,GLOBAL_StringTable.csv,Raz,That looks a little dangerous.,
GLRA070RA,GLOBAL_StringTable.csv,Raz,I don't like the looks of that.,
GLRA071RA,GLOBAL_StringTable.csv,Raz,Uh-oh.,
GLRA072RA,GLOBAL_StringTable.csv,Raz,Dang.,
GLRA073RA,GLOBAL_StringTable.csv,Raz,That's nasty.,
GLRA074RA,GLOBAL_StringTable.csv,Raz,Gross.,
GLRA075RA,GLOBAL_StringTable.csv,Raz,Cool!,
GLRA076RA,GLOBAL_StringTable.csv,Raz,What ARE those things?,
GLRA077RA,GLOBAL_StringTable.csv,Raz,I don't think that's going to work.,
GLRA078RA,GLOBAL_StringTable.csv,Raz,Check it out! I'm invisible!,
GLRA080RA,GLOBAL_StringTable.csv,Raz,Aaaaaaaaaaaaaaah!,
GLRA079RA,GLOBAL_StringTable.csv,Raz,Burn! Buuuuuurn!,
GLRA081RA,GLOBAL_StringTable.csv,Raz,Uh-uh.,
ASLV001LI,GLOBAL_StringTable.csv,Lili,Rrrr.,
ASLV002RA,GLOBAL_StringTable.csv,Raz,Lili!,
ASLV003LI,GLOBAL_StringTable.csv,Lili,Grrrr!,
ASLV004LI,GLOBAL_StringTable.csv,Lili,(Gasp!),
ASLV005LO,GLOBAL_StringTable.csv,Dr.Loboto,"Well, I've reviewed your chart, little girl.",
ASLV006LO,GLOBAL_StringTable.csv,Dr.Loboto,"And the bad news is, we're gonna have to remove your brain",
ASLV007LO,GLOBAL_StringTable.csv,Dr.Loboto,...strap it into an armored battle tank and make it shoot down innocent civilians with its concentrated psychic death beam!,
ASLV008LI,GLOBAL_StringTable.csv,Lili,I'm gonna kill you so much.,
ASLV009LO,GLOBAL_StringTable.csv,Dr.Loboto,"The good news is that your insurance is going to cover the whole thing, so--",
ASLV010LO,GLOBAL_StringTable.csv,Dr.Loboto,"Heyyy, is it getting warm in here?",
ASLV011LI,GLOBAL_StringTable.csv,Lili,"No, I'm just trying to set you on fire through this stupid hat!",
ASLV012LO,GLOBAL_StringTable.csv,Dr.Loboto,What a delightfully mean little brain you have. Just what we want!,
ASLV013LO,GLOBAL_StringTable.csv,Dr.Loboto,"Here, do me a favor. Tell me if you think this smells like... your DOOM! Heh heh.",
ASLV014LI,GLOBAL_StringTable.csv,Lili,(Snotty breathing.),
ASLV015LI,GLOBAL_StringTable.csv,Lili,(Sniff sniff.) I can't smell anything.,
ASLV016LO,GLOBAL_StringTable.csv,Dr.Loboto,Curses!,
ASLV017LI,GLOBAL_StringTable.csv,Lili,Heh heh.,
ASLV018LO,GLOBAL_StringTable.csv,Dr.Loboto,"You're a stubborn little ball of phlegm, ain't ya?",
ASLV019LO,GLOBAL_StringTable.csv,Dr.Loboto,"Well, that head cold won't protect you forever, little girl, and when it's gone you'll be sneezing a different tune!",
ASLV020LO,GLOBAL_StringTable.csv,Dr.Loboto,A tune in the key of... BRAINS! Ha ha ha!,
BBVI005CO,GLOBAL_StringTable.csv,Coach,"HOLD IT RIGHT THERE, SON!",
BBVI006CO,GLOBAL_StringTable.csv,Coach,Now just what in the sam hill do you thing you're doing in there?,
BBVI007RA,GLOBAL_StringTable.csv,Raz,I was just looking for a way out.,
BBVI008CO,GLOBAL_StringTable.csv,Coach,Oh,
BBVI011CO,GLOBAL_StringTable.csv,Coach,Sorry about that.,
BBVI012CO,GLOBAL_StringTable.csv,Coach,Didn't think you'd get to the end so fast.,
BBVI013CO,GLOBAL_StringTable.csv,Coach,Dang! I didn't think you'd get to the end at all!,
BBVI014CO,GLOBAL_StringTable.csv,Coach,But I'm always glad to see a soldier come back from the field alive.,
BBVI015CO,GLOBAL_StringTable.csv,Coach,"You surprised me out there, kid.",
BBVI016CO,GLOBAL_StringTable.csv,Coach,Here. You've earned this.,
BBVI017CO,GLOBAL_StringTable.csv,Coach,Your first PSYCHONAUT MERIT BADGE!,
BBVI018CO,GLOBAL_StringTable.csv,Coach,"Now if you'll excuse me, I gotta go back in.",
BBVI019CO,GLOBAL_StringTable.csv,Coach,I left some good men back there!,
LLLV001LF,GLOBAL_StringTable.csv,Linda,Human child.,
LLLV002RA,GLOBAL_StringTable.csv,Raz,Wha--who is that?,
LLLV003LF,GLOBAL_StringTable.csv,Linda,"It is I, the creature whose spirit was once--",
LLLV004LF,GLOBAL_StringTable.csv,Linda,"Um, over here. Behind you? Yes.",
LLLV005RA,GLOBAL_StringTable.csv,Raz,Oh.,
LLLV006LF,GLOBAL_StringTable.csv,Linda,The creature whose spirit was once enslaved by the evil one.,
LLLV007LF,GLOBAL_StringTable.csv,Linda,"You have unchained my soul, and now I shall repay you, powerful human child!",
LLLV008RA,GLOBAL_StringTable.csv,Raz,"Oh, uh... great! Well okay, show me what you did to my friend Lili!",
LLLV009LF,GLOBAL_StringTable.csv,Linda,"By the drowned spirit of Oblongata, it is done!",
LLLV010RA,GLOBAL_StringTable.csv,Raz,Ah--,
MMDD008BO,GLOBAL_StringTable.csv,Boyd,GRAAAAAA!,
SAIN008SA,GLOBAL_StringTable.csv,Sasha,"No, as firepower!",
SAIN010SA,GLOBAL_StringTable.csv,Sasha,"Ahhh, oh, so tacky... I can't... look... directly at it!",
GLRA001RA,GLOBAL_StringTable.csv,Raz,giggle,
GLRA007RA,GLOBAL_StringTable.csv,Raz,Uh-oof.,
GLRA008RA,GLOBAL_StringTable.csv,Raz,Yuh-uhf.,
GLRA009RA,GLOBAL_StringTable.csv,Raz,Oah,
GLRA011RA,GLOBAL_StringTable.csv,Raz,Ohh,
GLRA012RA,GLOBAL_StringTable.csv,Raz,D'oh,
GLRA013RA,GLOBAL_StringTable.csv,Raz,D'oh!,
GLRA030RA,GLOBAL_StringTable.csv,Raz,Who's the man!,
GLRA031RA,GLOBAL_StringTable.csv,Raz,sigh,
GLRA035RA,GLOBAL_StringTable.csv,Raz,Here we go again.,
GLRA036RA,GLOBAL_StringTable.csv,Raz,Oh boy!,
GLRA037RA,GLOBAL_StringTable.csv,Raz,Sheesh!,
GLRA038RA,GLOBAL_StringTable.csv,Raz,electrocution reaction,
GLEB000RA,GLOBAL_StringTable.csv,Raz,This guy needs a Duffle Bag Tag.,
GLEB001RA,GLOBAL_StringTable.csv,Raz,This Hat Box needs a Hat Box Tag.,
GLEB002RA,GLOBAL_StringTable.csv,Raz,I need the Purse Tag here.,
GLEB003RA,GLOBAL_StringTable.csv,Raz,I need the Steamer Trunk Tag for this guy.,
GLEB004RA,GLOBAL_StringTable.csv,Raz,Suitcase Tag.  That's what I need here.,
ASAH000LF,GLOBAL_StringTable.csv,Linda,What's going on! What's that sound?,
ASAH001SH,GLOBAL_StringTable.csv,Sheegor,Oh the insane asylum just blew up. But don't worry. Mr. Pokeylope helped me save all the brains before it fell down.,
ASAH002LF,GLOBAL_StringTable.csv,Linda,Mr. Pokeylope?,
ASAH003LF,GLOBAL_StringTable.csv,Linda,"Sam? Is that you? It's me, Linda. From the lake?",
ASAH004PL,GLOBAL_StringTable.csv,Mr.Pokeylope,Linda. I haven't seen you in ages. You look so... different.,
ASAH005LF,GLOBAL_StringTable.csv,Linda,"Uh, yeah. I've put on a little weight.",
ASAH006PL,GLOBAL_StringTable.csv,Mr.Pokeylope,"Ah, you know I don't mind that onnnnne bit.",
