"Identifier","Context","Source string","Translation"
"LOIN001LP","Lungfish-Police","Ah, top of the mornin' to ya, ma'am.","О, доброго раночку вам, пані."
"LOIN002LY","Lungfish-Madam","And good day to you, Officer O'Lungfish. How are you today?","І вам того ж, офіцере Дводихало. Як ваше нічого?"
"LOIN003LP","Lungfish-Police","Oh, damp and happy. Can't complain! And what are you and the wee one up to on this lovely day?","О, краще нікуди. Гріх жалітися! І як ви з мальком сьогодні плануєте проводити цей чудовий день?"
"LOIN004LY","Lungfish-Madam","Oh, just obeying the law as always. All posted directives followed to the letter.","О, та як завжди, коритимемося закону. Усі директиви будуть виконані бездоганно."
"LOIN005LP","Lungfish-Police","Ah, good to hear! Not a one of us want any trouble that's for sure!","А, радий чути! Правильно мислите, нам же не потрібні проблеми!"
"LOIN006LY","Lungfish-Madam","Aaaaahhhhh!!!!","А-а-а-а-а-а-а!!!!"
"LOIN007LP","Lungfish-Police","Aaaaaahhhh!!!!","А-а-а-а-а-а-а-а!!!!"
"LOIN008LR","Lungfish-Resistance","Oh, Goggalor!!!!","А-а, Окулярозавр!!!!"
"LOVE001CO","Coach","Agggghhh!",""
"LOVE002CO","Coach","Fine! Take control of this freaky toad! I don't need him to nab children for me anymore!",""
"LOVE003CO","Coach","I've got the brain of a little girl back in my lab that's strong enough to power a whole army of Psychoblaster Death Tanks!",""
"LOVE004RA","Raz","Why you--heh heh!",""
"LOVE005CO","Coach","Wha--",""
"LOVE006RA","Raz","Ha ha ha!",""
"LOVE007CO","Coach","What?",""
"LOVE008RA","Raz","You've got the brain of a little girl! Ha ha ha!",""
"LOVE009CO","Coach","I said in my lab!",""
"LOVE010RA","Raz","I think you've got the muscles of a little girl, too.",""
"LOVE012CO","Coach","Ahhhh! Grrrrr!",""
"LOVE013CO","Coach","Good one!",""
"LOAB005Z1","Zealots-1","Freedom!","Свобода!"
"LOAB014Z1","Zealots-1","WOOOOO!",""
"LOAB015Z1","Zealots-1","FREEDO--",""
"LOAB109Z1","Zealots-1","FREEDOM!","СВОБОДА!"
"LOCP001LC","Lungfish-Citizen","Ahhhhhhhhh!","А-а-а-а-а-а-а-а!"
"LOCP002LC","Lungfish-Citizen","Kochamara, save us!","Теромаро, врятуй нас!"
"LOCP003LC","Lungfish-Citizen","Where is Kochamara?","Де ж Теромара?"
"LOCP004LC","Lungfish-Citizen","Ah, my house!","А-а, мій дім!"
"LOCP005LC","Lungfish-Citizen","That's my school! ... Hooray!","Це моя школа! Ура-а-а!"
"LOCP006LC","Lungfish-Citizen","Heeeeelllllllp!","Допоможі-і-іть!"
"LOCP007LC","Lungfish-Citizen","It's Goggalor! Run!","Це Окулярозавр! Біжіть!"
