"Identifier","Context","Source string","Translation"
"GLRA047RA","Raz","Oooof!",""
"GLRA044RA_A","RA_A","Ug!",""
"GLRA015RA","Raz","I'm surprised!",""
"GLRA018RA","Raz","I'm confused!",""
"GLRA024RA","Raz","I'm successful!",""
"GLZG032TO","System","Arrowheads are made of Psitanium, a rare psychoreactive mineral, which makes them very valuable. You can use arrowheads to buy items at the camp store and other places you find.",""
"GLZA000TO","System","Don't turn up your nose at recycling. You gather up those PSI Cards, and get your self some Cores, and come down to my lab and we'll rank you up quick!",""
"GLZA001TO","System","Maybe if you were a higher rank, you could get some psi powers that could help you out.",""
"GLZA002TO","System","Not much to do here except clean up all the cobwebs, collect all the figments, and get any vaults that are left.",""
"GLZE000TO","System","Normally you would get a poster to put up in your cabin.  This item you bought is not added to backpack for now",""
"GLZD143TO","System","I can float up and down in the center of the room to get those rings spinning. And then after that, I swear, no more jumping through hoops.",""
"GLZD148TO","System","I think I see some glowing footprints up ahead. They might lead to Anna, who I care a lot about, like a buddy.",""
"GLZD159TO","System","Learn Psi Blast in Jon'5 mind.",""
"GLZD161TO","System","Turn up the censor generation lever to speed up the process.",""
"GLZD162TO","System","Shoot the censor valves on face I of Jon'5 Cube.",""
"GLZD163TO","System","Shoot the censor valves on face 2 of Jon'5 Cube.",""
"GLZD164TO","System","Shoot the censor valves on face e of Jon'5 Cube.",""
"GLZD165TO","System","Shoot the censor valves on face 4 of Jon'5 Cube.",""
"GLZD172TO","System","Get up to the top floor of this crazy club.",""
"GLZD174TO","System","Return to the Brain Tumbler.",""
"GLZD176TO","System","Destroy the Blueprint Brain tank.",""
"GLZD190TO","System","The Milkman can open the gates"," F!ND H!M !N5!D3 Brad'5 M!ND."
"GLZD191TO","System","Speak with Brad.",""
"GLZD192TO","System","Find a traffic sign to disguise yourself and get past the G-Men.",""
"GLZD196TO","System","Use plunger to get through sewer and to the Book Depository.",""
"GLZD197TO","System","Use Sniper Rifle to get into the Book Depository.",""
"GLZD211TO","System","Get ""Love BOAT"" script from atop the cliffs on set 2.",""
"GLZD212TO","System","Get ""Rescue from Hagatha Home"" script from on dock in set e.",""
"GLZD214TO","System","Make my way up through the catwalks.",""
"GLZD216TO","System","FIND A ""LAB COAT"" FOR LOBOTO COSTUME.",""
"GLZD224TO","System","Move the Militiaman 2 piece next to Michael'5 soldier.",""
"GLZD226TO","System","Move the Militiaman e piece next to Michael'5 soldier.",""
"GLZD233TO","System","Return the 4 queens to Geoff.",""
"GLZD249TO","System","Grind the tunnel of Love and follow Timmy.",""
"GLZE007TO","System","You just collected enough PSI Cards to make another PSI Challenge Marker!",""
"GLZE008TO","System","All emotional Baggage sorted for this Mental World!",""
"GLAY001RA","Raz","Yes!",""
"GLZD350TO","System","Delete corrupted Profile?",""
"GLZD371TO","System","FIND A ""CLAW"" FOR LOBOTO COSTUME.",""
"GLZD372TO","System","FIND A ""FACE"" FOR LOBOTO COSTUME.",""
"GLZF034TO","System","Try the CHAIN BLAST! Hold {MeleeButton} while psi blasting to blast multiple enemies!",""
"GLZF036TO","System","Try out THERMAL DETONATION! When firestarting an enemy, hit {MeleeButton} after the heat gauge turns red for a massive explosion.",""
"GLPC007TO","System","Cancel",""
