identifier,labels,context,source,translation
NICE001RA,NICE,Raz,Uh... Sasha?,
NICE002SA,NICE,Sasha,What is it? Another bunny?,
NICE003RA,NICE,Raz,"No, this is more of a super scary, flaming-eyed demon kind of deal.",
NICE004SA,NICE,Sasha,Oh. Hmmm.,
NICE005RA,NICE,Raz,What?,
NICE006SA,NICE,Sasha,"Okay, I'm pulling you out of there. Just give me a second.",
NICE007RA,NICE,Raz,"Uh, Sasha?",
NICE008SA,NICE,Sasha,"Hold on. I'm still getting some unusual interference. It's fascinating, as if someone else were--",
NICE009RA,NICE,Raz,Agent Nein?,
NICE010SA,NICE,Sasha,Sorry. Almost ready--,
NICE011RA,NICE,Raz,SASHA!,
NID1001DO,NID1,Dogen,Aaaaaaaa!,
NID1002LO,NID1,Dr.Loboto,Why are you screaming?,
NID1003LO,NID1,Dr.Loboto,Oh right! I remember!,
NID1004DO,NID1,Dogen,Wahhhhhhhh-a ha ha ha!,
NID1005DO,NID1,Dogen,(giggle giggle),
NID1006DO,NID1,Dogen,A-CHOOO!,
NID1007LO,NID1,Dr.Loboto,"Oh, good boy. There's that pesky brain.",
NID1008LO,NID1,Dr.Loboto,Here's a tissue.,
NID1009LO,NID1,Dr.Loboto,"Now, don't you feel better, my dear lad?",
NID1010DO,NID1,Dogen,TV?,
NID1011LO,NID1,Dr.Loboto,Of course! Right here!,
NID1012LO,NID1,Dr.Loboto,"And this BAD tooth, we just drop it in the old garbage chute!",
NID1013LO,NID1,Dr.Loboto,"Now, don't chew solid foods for six hours!",
NID1014RA,NID1,Raz,Lili!,
NID1015DO,NID1,Dogen,TV!,
NID2001LO,NID2,Dr.Loboto,"Little boy, I am sorry to say that you have a very serious mental problem. The trouble originates in this area here, the area that we in the medical profession like to refer to as",
NID2002LO,NID2,Dr.Loboto,"the brain. You see, son, it's just no good!",
NID2003LO,NID2,Dr.Loboto,"I hate to be so blunt, but YOU have the insanity... of a manatee!",
NID2004DO,NID2,Dogen,"I know! People are always saying that! What do you think's wrong with my brain, Doctor?",
NID2005LO,NID2,Dr.Loboto,"How should I know? I'm a dentist! But here's what I do know: if a tooth is bad, you pull it!",
NID2006DO,NID2,Dogen,But my teeth are fine!,
NID2007LO,NID2,Dr.Loboto,"Yup! That brain's got to come out, boy. It's the quickest way to cure what you've got: INSANITY OF THE MIND!",
NID2008DO,NID2,Dogen,"But, I don't wanna--",
NID2009LO,NID2,Dr.Loboto,Shush-shush-shush-shush-shushie! Now hold still. This will only hurt until your brains come flying out!,
NID2010DO,NID2,Dogen,Ahh! Ahh! Get back! HELP!,
NID2011LO,NID2,Dr.Loboto,"Oh, please. Be serious.",
NID2012DO,NID2,Dogen,Heeeeeeeelp!,
NIEN001RA,NIEN,Raz,Is this a nightmare... or a plan?,
NIEN002RA,NIEN,Raz,Or both?,
NIEN003RA,NIEN,Raz,Wait a minute!,
NIEN004SA,NIEN,Sasha,"Razputin, I'm sorry. I had to abort the experiment. Something unbelievably urgent has come up and I must leave immediately.",
NIEN005RA,NIEN,Raz,I know! You'll never believe--,
NIEN006SA,NIEN,Sasha,Hold that thought! In a rush! Official Psychonauts business!,
NIEN007RA,NIEN,Raz,Wait! So is this!,
NIEN008RA,NIEN,Raz,Official Psychonaut--hey! You forgot your--,
NIEN009RA,NIEN,Raz,Hmmm...,
NIIN001SA,NIIN,Sasha,"Razputin, can you hear me?",
NIIN002RA,NIIN,Raz,"Sasha, where am I?",
NIIN003SA,NIIN,Sasha,"You are inside your own mind, but I'm not sure where. Tell me. What can you see?",
NIIN004RA,NIIN,Raz,I see a run-down gypsy caravan.,
NIIN005SA,NIIN,Sasha,Do you recognize it?,
NIIN006RA,NIIN,Raz,Yes. It's where I was born.,
NIIN007SA,NIIN,Sasha,I see...,
NIIN008SA,NIIN,Sasha,Compelling.,
NIVI001RA,NIVI,Raz,"Sasha, I'm going inside the caravan.",
NIVI002SA,NIVI,Sasha,What do you see inside?,
NIVI003RA,NIVI,Raz,I'm not sure. It's getting fuzzy.,
NIVI004RA,NIVI,Raz,Ahhhhhhhhhh...,
NIVI005RA,NIVI,Raz,Oof!,
NIVI006SA,NIVI,Sasha,"Razputin, are you okay? What do you see now?",
NIVI007RA,NIVI,Raz,"I see a small, bunny-like animal thing.",
NIVI008SA,NIVI,Sasha,"Hmmm. An unfamiliar animal entity in a dream often represents a primal fear or memory. Follow it, and it should lead you somewhere important.",
NIVI009RA,NIVI,Raz,"Check. Okay, Mr. Bun. You and I are gonna be tight. Wherever you go, I go. Like... two peas in a--hey!",
NIVI010RA,NIVI,Raz,Come back here!,
NIVI011SA,NIVI,Sasha,Don't let him get away!,
NIAB004RA,NIAB,Raz,"Hey! No fair! I blasted you, tank!",
NIAB005RA,NIAB,Raz,"RECEIVE MY PSYCHIC BLASTING, JERK!",
NIAB006RA,NIAB,Raz,Rats. That tank is armored like a... tank!,
NIAB007RA,NIAB,Raz,It must have a weak spot somewhere!,
NIAB008RA,NIAB,Raz,Probably not on the top though.,
NIAB009RA,NIAB,Raz,Probably hidden.,
NIAB010RA,NIAB,Raz,"The weak spot, I mean.",
